"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","arch_p_lag4","arch_p_lag5","arch_p_lag6","arch_p_lag7","jb_p","dm_p_1","dm_p_2"
"59","2011-02-28/2011-03-01","2011-03-02","ARIMA(2,1,2)",0.00335979272322553,0.00350233152928876,0.00266964011530081,0.00277836713970922,0.956626834980483,0.96201057740609,0.924916768376378,0.942300403647251,0.71452501286848,0.520646757397832,0.637868518315703,0.738999215939391,0.000268367384218093,1.85877340257048e-05,3.57591771004811e-07
"60","2011-03-01/2011-03-02","2011-03-03","ARIMA(2,1,2)",0.00349574507739634,0.0036230533833999,0.00274133466520176,0.00285506302992184,0.880452655870026,0.942283708510319,0.915681272034013,0.951536788239873,0.936824905023403,0.949526670164114,0.946528688902062,0.955168389126098,0.173635022585681,1.20177211338534e-05,1.21041602474065e-05
"61","2011-03-02/2011-03-03","2011-03-04","ARIMA(2,1,2)",0.00343051888609756,0.00359306186852174,0.00273260953368334,0.00287314274829354,0.936518002476896,0.975658722415953,0.934257795066572,0.936241252961734,0.417168530656316,0.545995965709463,0.654110288513165,0.441849989840022,0.0268580544640618,5.70867475518138e-08,2.84734913715424e-08
"62","2011-03-03/2011-03-04","2011-03-05","ARIMA(2,1,2)",0.0037868763047247,0.00386040973829179,0.00297175696908211,0.00305613771025908,0.897621625640935,0.953740954316567,0.92570880875802,0.952074245646623,0.0254439207003259,0.0333161359460581,0.0430056097835345,0.0125976489456766,0.0002599337584136,0.00149253624640502,0.01042464036649
"63","2011-03-04/2011-03-05","2011-03-06","ARIMA(0,1,2)",0.00397481754558854,0.00408351622897114,0.00313725764839943,0.00324855792608822,0.745688011590212,0.749045164356518,0.544292541736502,0.62743319054203,2.21876868256032e-06,3.22094596283407e-06,8.27218056542733e-06,2.0295122855285e-05,0.000126809968324371,9.42559370684114e-06,2.26914462902912e-05
"64","2011-03-05/2011-03-06","2011-03-07","ARIMA(1,0,0) with zero mean",0.00346618355884595,0.00358340640161258,0.00269862931432832,0.00279255169595925,0.883823289525573,0.945885998838742,0.927261918859331,0.963928794960196,0.0357037691563868,0.0152956598283005,0.0198541488336679,0.0352649074899465,0.000572205792173874,1.18272178283336e-06,5.93088186303589e-08
"65","2011-03-06/2011-03-07","2011-03-08","ARIMA(0,1,2)",0.00345799096620638,0.00356569463109276,0.00270889588947996,0.00280472601590487,0.720023614340116,0.21496171563308,0.15119093283605,0.160289589349587,0.0414111126669662,0.0268520101243582,0.0395942742620964,0.0667672760465509,3.11795274154925e-07,4.44518560914159e-05,8.88377989565402e-06
"66","2011-03-07/2011-03-08","2011-03-09","ARIMA(2,1,2)",0.00346780125758416,0.00361367972939037,0.00269748642042291,0.00280786418352556,0.917911226643515,0.712281044665581,0.312053170940231,0.392746235905709,0.451684299651154,0.562822288491757,0.686461008644614,0.787949810765441,9.0331050561776e-07,1.72594310481116e-05,5.50264178994099e-06
"67","2011-03-08/2011-03-09","2011-03-10","ARIMA(2,1,2)",0.00337666747279013,0.00357358905295897,0.00265636276192719,0.00283496909550797,0.94250999024665,0.960784627235554,0.287365639794728,0.384193210057461,0.000105897683488787,0.000277579069546952,0.00061615176333607,0.00112045683992001,1.18083320899132e-12,3.77448416884777e-12,4.41583789262487e-13
"68","2011-03-09/2011-03-10","2011-03-11","ARIMA(2,1,2)",0.00350359458389632,0.00370056239557742,0.00278641589565569,0.00292207053873338,0.406248631691012,0.522341941197505,0.519158464775393,0.328578305310422,4.16882708765831e-05,0.00010191250175684,0.000138069739480162,0.000293476434880202,3.99097532799431e-10,2.34951192005602e-06,7.47565405381593e-10
