"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"64","2011-03-05/2011-03-08","2011-03-09","ARIMA(3,0,2) with zero mean",0.0035186027389219,0.00361367972939037,0.00274786635524177,0.00280786418352556,0.863766290105784,0.915045085101367,0.95556515525205,0.444258016482484,2.63628741059563e-09,0.00291135497208706,0.000369841999694151
"65","2011-03-06/2011-03-09","2011-03-10","ARIMA(2,1,2)",0.0033745067099823,0.00357358905295897,0.00265328836967377,0.00283496909550797,0.931294762435502,0.870190458389378,0.207536384804454,0.275640921942125,0,4.25860817707033e-13,7.20721121907499e-14
"66","2011-03-07/2011-03-10","2011-03-11","ARIMA(2,1,2)",0.00350446389611746,0.00370056239557742,0.00278617480492467,0.00292207053873338,0.449688238171658,0.355198957271887,0.109634545701049,0.128886382678415,6.66133814775094e-16,8.42867053821943e-07,1.56116291814567e-10
"67","2011-03-08/2011-03-11","2011-03-12","ARIMA(2,1,2)",0.00403569887800597,0.00416136436309491,0.00315274870558574,0.00329712437442747,0.340779363432514,0.402671182698858,0.0728662231382811,0.11574279472801,1.26563870495033e-10,3.50303953451902e-06,0.000283579103021841
"68","2011-03-09/2011-03-12","2011-03-13","ARIMA(2,1,2)",0.0040613926253144,0.00415338475113031,0.00316383509056738,0.00325370426806643,0.206727714801646,0.301796850491471,0.0514240654041818,0.0381708036422962,0,0.00217040806301569,0.00413759541552778
"69","2011-03-10/2011-03-13","2011-03-14","ARIMA(0,0,2) with zero mean",0.00375431683536944,0.00384161264416548,0.00296677763119289,0.00304402058813115,0.997904970863388,0.995721326721092,0.997681937749994,0.999395043967046,1.49025236595435e-12,0.000862769089416869,0.000564191369180076
"70","2011-03-11/2011-03-14","2011-03-15","ARIMA(1,0,1) with zero mean",0.00385733634639208,0.0039970997990974,0.00310105479480244,0.00318932098743249,0.769689098314998,0.692796750014261,0.802494811287607,0.782934451005305,7.6268613646846e-09,0.000118345747039997,2.50152387774364e-08
"71","2011-03-12/2011-03-15","2011-03-16","ARIMA(3,0,0) with zero mean",0.00396863386071216,0.00411108911788338,0.00307753797066494,0.00317537692343943,0.999977330319102,0.701070714106744,0.794386928643356,0.863814848946959,9.4311641336553e-06,2.85143186286977e-05,7.88018785081525e-06
"72","2011-03-13/2011-03-16","2011-03-17","ARIMA(2,0,3) with zero mean",0.00357355550648063,0.00368382343490064,0.00282356650295543,0.0028942034108856,0.997026776349246,0.991020286616362,0.111775962307307,0.0782155810655542,3.22653015416563e-12,0.000939123624855401,8.36259968507603e-06
"73","2011-03-14/2011-03-17","2011-03-18","ARIMA(2,0,3) with zero mean",0.00335603199664075,0.00351551286973668,0.0026469208258248,0.00277362416905512,0.402055154646546,0.53037464133566,0.231609787017894,0.188475966947087,1.31006316905768e-13,8.48024009172141e-07,2.14582302941425e-08
